time,x,der(x),der(der(x)),F_in,k,c,m
0.9800000000000006,0.6703599463263328,-0.5308619893643194,-0.1394979569620134,0,0,0,0
0.9900000000000007,0.6650445320941619,-0.5322233430997275,-0.1328211889944344,0,0,0,0
1.000000000000001,0.6597158339712295,-0.5335181911642233,-0.1261976428070062,0,0,0,0
1.010000000000001,0.6543745143773175,-0.5347470664883411,-0.1196274478889764,0,0,0,0
1.020000000000001,0.6490212303966012,-0.5359105032642733,-0.1131107271323279,0,0,0,0
1.030000000000001,0.6436566337653608,-0.5370090368801608,-0.1066475968852,0,0,0,0
1.040000000000001,0.6382813708603435,-0.5380432038549195,-0.100238167005424,0,0,0,0
1.050000000000001,0.6328960826877763,-0.5390135417735986,-0.09388254091417769,0,0,0,0
1.060000000000001,0.6275014048730225,-0.5399205892232818,-0.08758081564974074,0,0,0,0
1.070000000000001,0.6220979676508758,-0.5407648857295224,-0.08133308192135336,0,0,0,0
1.080000000000001,0.6166863958564895,-0.5415469716933197,-0.07513942416316988,0,0,0,0
1.090000000000001,0.61126730891693,-0.5422673883286345,-0.06899992058829552,0,0,0,0
1.100000000000001,0.6058413208433553,-0.5429266776004458,-0.06291464324290952,0,0,0,0
1.110000000000001,0.6004090402238096,-0.5435253821633487,-0.05688365806046092,0,0,0,0
1.120000000000001,0.5949710702166279,-0.5440640453006943,-0.05090702491593357,0,0,0,0
1.130000000000001,0.5895280085444485,-0.5445432108642764,-0.04498479768017216,0,0,0,0
1.140000000000001,0.5840804474888243,-0.5449634232145545,-0.03911702427426977,0,0,0,0
1.150000000000001,0.5786289738854283,-0.5453252271614275,-0.03330374672400083,0,0,0,0
1.160000000000001,0.5731741691198527,-0.5456291679055506,-0.02754500121430214,0,0,0,0
1.170000000000001,0.5677166091239894,-0.5458757909801941,-0.02184081814379524,0,0,0,0
1.180000000000001,0.5622568643729868,-0.5460656421936514,-0.01619122217933544,0,0,0,0
1.190000000000001,0.5567954998827852,-0.5461992675721925,-0.0105962323105927,0,0,0,0
1.200000000000001,0.5513330752082147,-0.5462772133035584,-0.005055861904656345,0,0,0,0
1.210000000000001,0.545870144441661,-0.5463000256810094,0.0004298812393483953,0,0,0,0
1.220000000000001,0.5404072562122809,-0.5462682510479134,0.005860994835632516,0,0,0,0
1.230000000000001,0.5349449536857784,-0.5461824357428834,0.01123748205710495,0,0,0,0
1.240000000000001,0.5294837745647171,-0.5460431260454629,0.01655935148074583,0,0,0,0
1.250000000000001,0.5240242510893799,-0.5458508681223516,0.02182661703297173,0,0,0,0
1.260000000000001,0.5185669100391597,-0.5456062079741862,0.02703929793502657,0,0,0,0
1.270000000000001,0.5131122727344821,-0.5453096913828615,0.03219741864837933,0,0,0,0
1.280000000000001,0.5076608550392524,-0.5449618638593933,0.03730100882014087,0,0,0,0
1.290000000000001,0.5022131673638192,-0.5445632705923411,0.04235010322852195,0,0,0,0
1.300000000000001,0.4967697146684503,-0.5441144563967604,0.04734474172831005,0,0,0,0
1.310000000000001,0.491330996467322,-0.5436159656637096,0.05228496919638759,0,0,0,0
1.320000000000001,0.4858975068330037,-0.5430683423102992,0.05717083547729551,0,0,0,0
1.330000000000001,0.4804697344014427,-0.542472129730286,0.06200239532884333,0,0,0,0
1.340000000000001,0.4750481623774419,-0.5418278707452056,0.06677970836776365,0,0,0,0
1.350000000000001,0.46963326854062,-0.5411361075560578,0.07150283901543775,0,0,0,0
1.360000000000001,0.464225525251854,-0.5403973816955266,0.07617185644367264,0,0,0,0
1.370000000000001,0.4588253994601973,-0.5396122339807452,0.08078683452054786,0,0,0,0
1.380000000000001,0.4534333527102663,-0.5387812044666004,0.08534785175633408,0,0,0,0
1.390000000000001,0.4480498411500914,-0.537904832399582,0.08985499124949059,0,0,0,0
1.400000000000001,0.4426753155394284,-0.5369836561721659,0.09430834063273752,0,0,0,0
1.410000000000001,0.4373102212585214,-0.5360182132777399,0.09870799201921854,0,0,0,0
1.420000000000001,0.4319549983173146,-0.5350090402660663,0.1030540419487517,0,0,0,0
1.430000000000001,0.4266100813651064,-0.533956672699284,0.1073465913341776,0,0,0,0
1.440000000000001,0.4212758997006421,-0.5328616451084405,0.1115857454077984,0,0,0,0
1.450000000000001,0.4159528772826372,-0.5317244909505646,0.1157716136679274,0,0,0,0
1.460000000000001,0.4106414327407289,-0.5305457425662725,0.1199043098255436,0,0,0,0
1.470000000000001,0.4053419793868455,-0.5293259311379066,0.1239839517510611,0,0,0,0
1.480000000000001,0.4000549252269974,-0.5280655866482024,0.128010661421205,0,0,0,0
